arrive time,willing price,preference
0.003,100,1
0.008,300,3
0.009,300,1
0.023,300,2
0.045,100,1
0.047,300,3
0.065,500,2
0.088,300,3
0.104,200,2
0.108,300,2
0.113,200,1
0.153,100,2
0.159,100,3
0.161,300,3
0.17,100,1
0.174,400,2
0.206,400,1
0.208,300,3
0.241,400,3
0.263,100,1
0.269,200,1
0.271,100,2
0.292,100,1
0.3,300,2
0.335999,100,1
0.361999,500,1
0.365999,100,1
0.392998,100,1
0.434998,100,2
0.460998,500,3
0.467998,100,2
0.473997,400,1
0.482997,400,2
0.501997,200,3
0.506997,100,3
0.563996,400,2
0.564996,300,3
0.571996,200,3
0.607996,300,3
0.630995,300,3
0.647995,300,3
0.690995,100,3
0.712994,300,1
0.719994,400,1
0.747994,100,1
0.749994,300,3
0.754994,100,2
0.760994,200,2
0.773994,100,1
0.811993,300,2
0.849993,300,3
0.856993,400,3
0.907992,200,3
0.940991,200,1
0.945991,200,1
0.960991,200,3
0.015,100,2
0.04,300,1
0.049,100,1
0.054,300,3
0.069,100,3
0.076,300,3
0.084,300,3
0.096,300,3
0.102,200,2
0.104,300,2
0.118,200,1
0.124,100,1
0.126,200,1
0.157,300,1
0.171,100,2
0.173,400,2
0.185,400,2
0.199,100,1
0.2,300,2
0.213,100,3
0.228,200,3
0.246,100,2
0.281,100,3
0.3,300,1
0.316999,100,1
0.319999,500,1
0.330999,100,2
0.375999,100,3
0.377999,100,1
0.414998,400,2
0.417998,100,3
0.436998,400,1
0.437998,400,2
0.444998,200,2
0.464998,100,1
0.477997,400,1
0.512997,300,1
0.514997,200,3
0.523997,300,2
0.528997,300,2
0.538997,300,2
0.548997,100,2
0.555996,300,3
0.556996,400,1
0.589996,100,1
0.594996,300,2
0.626996,100,3
0.627995,200,3
0.631995,100,2
0.648995,300,1
0.672995,300,3
0.680995,400,2
0.689995,200,1
0.710994,200,1
0.743994,400,1
0.750994,200,1
0.760994,200,1
0.765994,300,3
0.775994,200,2
0.783993,300,1
0.785993,200,3
0.809993,200,3
0.819993,200,1
0.837993,300,3
0.843993,400,3
0.849993,300,2
0.857993,200,3
0.864992,100,1
0.884992,200,1
0.923992,300,3
0.927992,300,2
0.928992,100,1
0.932992,200,3
0.938991,300,3
0.971991,300,3
0.988991,300,2
0.026,100,1
0.031,300,1
0.047,300,2
0.067,300,1
0.077,100,2
0.126,300,1
0.154,100,2
0.173,300,2
0.196,200,3
0.199,300,2
0.2,200,3
0.215,100,3
0.281,100,1
0.306,300,1
0.312,100,1
0.316999,400,1
0.335999,300,1
0.336999,300,1
0.367999,400,2
0.369999,100,2
0.381999,200,1
0.383999,100,2
0.417998,100,3
0.423998,300,3
0.461998,100,3
0.465998,500,3
0.474997,100,3
0.483997,100,2
0.511997,100,1
0.520997,100,3
0.564996,100,1
0.565996,400,2
0.604996,400,2
0.607996,200,3
0.619996,100,3
0.635995,400,1
0.656995,300,1
0.666995,200,3
0.681995,300,1
0.695995,300,2
0.732994,300,2
0.740994,100,1
0.743994,100,3
0.745994,400,3
0.772994,100,1
0.788993,300,2
0.815993,100,2
0.847993,200,3
0.851993,100,3
0.857993,300,1
0.863992,300,1
0.875992,400,1
0.881992,200,3
0.889992,200,3
0.895992,400,2
0.897992,200,3
0.918992,300,2
0.937991,300,1
0.949991,200,3
0.962991,200,1
0.976991,200,3
0.001,100,3
0.016,300,1
0.025,300,3
0.029,300,2
0.045,100,2
0.064,300,3
0.084,300,2
0.087,300,2
0.089,200,1
0.096,300,1
0.166,200,2
0.191,100,1
0.199,100,1
0.253,300,2
0.268,100,2
0.271,400,3
0.274,100,3
0.288,100,2
0.293,400,1
0.305,100,2
0.317999,200,1
0.331999,100,2
0.347999,100,2
0.348999,300,3
0.360999,100,3
0.362999,500,1
0.366999,100,3
0.367999,100,3
0.371999,500,2
0.388999,100,3
0.408998,100,2
0.427998,400,1
